Frame,Left,Top,Right,Bottom,Object_class
370,28,19,121,460,person
371,26,10,123,466,person
372,19,11,129,470,person
372,211,80,269,389,person
373,20,9,127,470,person
373,208,71,270,397,person
374,24,-3,125,479,person
374,201,56,270,352,person
375,22,13,127,465,person
376,20,3,130,472,person
377,27,4,126,473,person
377,198,53,270,303,person
378,27,2,127,472,person
379,18,-21,133,313,person
380,24,-28,129,317,person
380,199,53,264,305,person
381,28,-33,128,320,person
382,30,-31,125,317,person
382,17,-25,96,434,person
382,294,13,378,401,person
383,26,-26,126,311,person
383,15,-12,94,426,person
384,26,-33,126,316,person
384,16,-15,93,427,person
385,23,-34,130,318,person
385,11,19,95,453,person
386,20,-46,128,328,person
386,187,48,250,301,person
386,13,11,95,462,person
387,19,-54,127,333,person
388,20,-53,127,334,person
389,18,-46,129,327,person
389,185,52,251,296,person
390,184,49,251,295,person
390,22,-43,127,323,person
390,10,-9,96,484,person
391,23,-47,122,329,person
391,184,48,248,300,person
391,10,-8,96,484,person
392,13,-53,99,337,person
392,180,50,251,295,person
392,261,8,357,467,person
393,9,-50,99,331,person
394,11,-64,95,343,person
395,12,-60,91,339,person
396,16,-70,89,347,person
397,16,-75,89,352,person
397,192,42,239,362,person
398,11,-82,92,359,person
399,2,-22,99,493,person
400,8,-76,92,352,person
400,282,49,331,301,person
401,8,-41,90,452,person
401,280,49,331,305,person
402,10,-74,90,346,person
403,14,-69,87,342,person
404,15,-63,86,337,person
404,281,54,329,297,person
405,282,56,330,292,person
407,281,52,331,298,person
414,188,52,248,295,person
419,173,50,258,297,person
420,286,-15,389,369,person
421,283,-16,392,369,person
422,167,27,242,273,person
422,281,-5,393,361,person
423,164,28,245,274,person
424,280,0,394,355,person
424,166,31,240,270,person
425,165,28,237,274,person
426,282,15,390,399,person
427,280,13,392,400,person
428,283,10,388,405,person
429,284,9,388,405,person
432,281,8,385,407,person
433,284,5,384,407,person
452,276,-22,388,375,person
453,279,-18,385,370,person
454,277,-2,389,415,person
455,278,3,390,407,person
456,280,14,391,403,person
457,283,22,395,393,person
457,138,10,223,401,person
458,279,16,399,398,person
458,135,12,223,402,person
459,282,13,397,405,person
459,133,10,221,398,person
460,283,18,399,397,person
460,134,7,217,397,person
461,281,21,402,395,person
461,131,0,220,404,person
462,285,-10,399,422,person
462,134,20,222,453,person
463,282,5,401,409,person
464,291,-8,394,423,person
465,289,1,396,417,person
466,287,14,397,402,person
468,286,10,398,407,person
469,288,4,396,413,person
470,285,20,397,396,person
471,284,22,398,396,person
471,126,-13,221,364,person
472,283,14,399,402,person
472,131,7,216,399,person
473,285,6,397,408,person
473,126,-6,225,363,person
474,282,14,398,401,person
475,284,17,398,398,person
475,129,-15,226,368,person
476,282,22,400,394,person
476,128,-15,227,367,person
477,284,19,398,393,person
477,128,-13,228,366,person
478,128,-13,227,364,person
478,280,11,403,404,person
479,282,21,401,395,person
479,128,-13,228,366,person
480,128,-20,230,371,person
480,282,14,400,404,person
481,127,-22,230,374,person
481,280,3,400,411,person
482,132,-1,224,409,person
482,283,-7,398,420,person
483,286,12,396,401,person
483,126,-27,230,379,person
484,126,-26,229,377,person
484,279,9,401,402,person
485,282,8,397,405,person
485,125,-28,228,378,person
486,278,-46,399,338,person
486,123,-35,231,333,person
487,283,6,396,407,person
487,125,-24,229,371,person
488,283,-5,396,418,person
488,121,-28,229,379,person
489,282,3,398,411,person
489,120,-29,230,328,person
490,286,0,393,412,person
490,123,-30,226,326,person
491,289,-4,396,416,person
491,117,-33,231,331,person
492,287,-4,396,419,person
492,117,4,227,404,person
493,282,1,400,413,person
493,117,-20,225,368,person
494,281,7,400,405,person
494,111,-17,229,364,person
495,281,16,400,397,person
495,103,-17,236,366,person
496,279,29,404,387,person
496,98,-37,208,329,person
497,99,-44,205,335,person
497,276,7,407,406,person
498,97,-37,204,331,person
498,281,15,404,400,person
499,95,-37,204,331,person
500,92,-38,204,332,person
500,311,-56,423,343,person
501,92,-43,204,335,person
502,89,-47,202,338,person
503,89,-48,204,342,person
504,88,-46,204,338,person
504,319,11,413,461,person
505,87,-47,205,338,person
505,317,12,414,457,person
506,87,-43,204,334,person
506,319,24,413,448,person
507,87,-47,204,339,person
507,321,5,412,466,person
508,87,-49,203,342,person
508,324,-30,410,384,person
509,87,-45,202,392,person
510,86,-32,204,383,person
511,85,-49,210,339,person
512,88,-43,210,335,person
513,81,-42,219,335,person
513,320,-28,412,436,person
